[80.829, 211.137, 0.0]
[80.419, 210.585, 1.0]
[80.444, 210.569, 0.0]
[80.804, 211.154, 1.0]
[80.419, 210.585, 1.0]
[80.429, 210.546, 0.0]
[80.444, 210.569, 0.0]
[80.419, 210.585, 1.0]
[80.403, 210.562, 1.0]
[80.429, 210.546, 0.0]
[80.403, 210.562, 1.0]
[80.406, 210.507, 0.0]
[80.429, 210.546, 0.0]
[80.403, 210.562, 1.0]
[80.357, 210.482, 1.0]
[80.406, 210.507, 0.0]
[80.406, 210.507, 0.0]
[80.357, 210.482, 1.0]
[80.384, 210.468, 0.0]
[80.357, 210.482, 1.0]
[80.338, 210.441, 1.0]
[80.384, 210.468, 0.0]
[80.338, 210.441, 1.0]
[80.365, 210.428, 0.0]
[80.384, 210.468, 0.0]
[80.338, 210.441, 1.0]
[80.045, 209.808, 1.0]
[80.365, 210.428, 0.0]
[80.045, 209.808, 1.0]
[80.072, 209.795, 0.0]
[80.365, 210.428, 0.0]
[80.045, 209.808, 1.0]
[80.055, 209.758, 0.0]
[80.072, 209.795, 0.0]
[80.045, 209.808, 1.0]
[80.027, 209.769, 1.0]
[80.055, 209.758, 0.0]
[80.027, 209.769, 1.0]
[80.039, 209.716, 0.0]
[80.055, 209.758, 0.0]
[80.027, 209.769, 1.0]
[80.011, 209.726, 1.0]
[80.039, 209.716, 0.0]
[80.011, 209.726, 1.0]
[79.794, 209.041, 0.0]
[80.039, 209.716, 0.0]
[79.766, 209.051, 1.0]
[79.794, 209.041, 0.0]
[80.011, 209.726, 1.0]
[79.766, 209.051, 1.0]
[79.783, 209.009, 0.0]
[79.794, 209.041, 0.0]
[79.766, 209.051, 1.0]
[79.754, 209.018, 1.0]
[79.783, 209.009, 0.0]
[79.754, 209.018, 1.0]
[79.564, 208.336, 0.0]
[79.783, 209.009, 0.0]
[79.535, 208.345, 1.0]
[79.564, 208.336, 0.0]
[79.754, 209.018, 1.0]
[79.535, 208.345, 1.0]
[79.554, 208.303, 0.0]
[79.564, 208.336, 0.0]
[79.535, 208.345, 1.0]
[79.525, 208.311, 1.0]
[79.554, 208.303, 0.0]
[79.525, 208.311, 1.0]
[79.361, 207.631, 0.0]
[79.554, 208.303, 0.0]
[79.332, 207.639, 1.0]
[79.361, 207.631, 0.0]
[79.525, 208.311, 1.0]
[79.332, 207.639, 1.0]
[79.352, 207.597, 0.0]
[79.361, 207.631, 0.0]
[79.332, 207.639, 1.0]
[79.323, 207.604, 1.0]
[79.352, 207.597, 0.0]
[79.323, 207.604, 1.0]
[79.185, 206.926, 0.0]
[79.352, 207.597, 0.0]
[79.156, 206.933, 1.0]
[79.185, 206.926, 0.0]
[79.323, 207.604, 1.0]
[79.156, 206.933, 1.0]
[79.177, 206.891, 0.0]
[79.185, 206.926, 0.0]
[79.156, 206.933, 1.0]
[79.148, 206.897, 1.0]
[79.177, 206.891, 0.0]
[79.148, 206.897, 1.0]
[79.035, 206.221, 0.0]
[79.177, 206.891, 0.0]
[79.006, 206.227, 1.0]
[79.035, 206.221, 0.0]
[79.148, 206.897, 1.0]
[79.006, 206.227, 1.0]
[79.027, 206.183, 0.0]
[79.035, 206.221, 0.0]
[79.006, 206.227, 1.0]
[78.998, 206.189, 1.0]
[79.027, 206.183, 0.0]
[78.998, 206.189, 1.0]
[78.882, 205.517, 1.0]
[79.027, 206.183, 0.0]
[79.027, 206.183, 0.0]
[78.882, 205.517, 1.0]
[78.912, 205.512, 0.0]
[78.912, 205.512, 0.0]
[78.882, 205.517, 1.0]
[78.877, 205.481, 1.0]
[78.912, 205.512, 0.0]
[78.877, 205.481, 1.0]
[78.907, 205.477, 0.0]
[78.877, 205.481, 1.0]
[78.816, 204.806, 0.0]
[78.907, 205.477, 0.0]
[78.786, 204.809, 1.0]
[78.816, 204.806, 0.0]
[78.877, 205.481, 1.0]
[78.786, 204.809, 1.0]
[78.812, 204.767, 0.0]
[78.816, 204.806, 0.0]
[78.786, 204.809, 1.0]
[78.782, 204.77, 1.0]
[78.812, 204.767, 0.0]
[78.782, 204.77, 1.0]
[78.748, 204.095, 0.0]
[78.812, 204.767, 0.0]
[78.718, 204.097, 1.0]
[78.748, 204.095, 0.0]
[78.782, 204.77, 1.0]
[78.718, 204.097, 1.0]
[78.745, 204.058, 0.0]
[78.748, 204.095, 0.0]
[78.718, 204.097, 1.0]
[78.715, 204.059, 1.0]
[78.745, 204.058, 0.0]
[78.715, 204.059, 1.0]
[78.706, 203.385, 0.0]
[78.745, 204.058, 0.0]
[78.676, 203.386, 1.0]
[78.706, 203.385, 0.0]
